F [GHz],dB(S11),dB(S21)
0.100000000000000,-29.389284074575077,-0.005001565470755
0.110000000000000,-28.588122245647263,-0.006015515189907
0.120000000000000,-27.861634414907019,-0.007111748809336
0.130000000000000,-27.198281155653138,-0.008286487016081
0.140000000000000,-26.589097227590859,-0.009535671576764
0.150000000000000,-26.026980251213814,-0.010854977360173
0.160000000000000,-25.506209444951050,-0.012239825164639
0.170000000000000,-25.022110543943864,-0.013685395317157
0.180000000000000,-24.570816665711259,-0.015186642009273
0.190000000000000,-24.149093942503274,-0.016738308333800
0.200000000000000,-23.754211957576626,-0.018334941985120
0.210000000000000,-23.383845852612222,-0.019970911584914
0.220000000000000,-23.036001256880230,-0.021640423594378
0.230000000000000,-22.708955946434170,-0.023337539773416
0.240000000000000,-22.401213958957047,-0.025056195146626
0.250000000000000,-22.111469112895261,-0.026790216435790
0.260000000000000,-21.838575718370461,-0.028533340918232
0.270000000000000,-21.581524852650816,-0.030279235670333
0.280000000000000,-21.339424987823939,-0.032021517155528
0.290000000000000,-21.111486056619981,-0.033753771116255
0.300000000000000,-20.897006259712146,-0.035469572729368
0.310000000000000,-20.695361078127434,-0.037162506984996
0.320000000000000,-20.505994074054378,-0.038826189248756
0.330000000000000,-20.328409153483069,-0.040454285967944
0.340000000000000,-20.162164032844135,-0.042040535482197
0.350000000000000,-20.006864704574660,-0.043578768899784
0.360000000000000,-19.862160737529415,-0.045062931000518
0.370000000000000,-19.727741280164164,-0.046487101126926
0.380000000000000,-19.603331659725104,-0.047845514024937
0.390000000000000,-19.488690490765268,-0.049132580595781
0.400000000000000,-19.383607222457307,-0.050342908520357
0.410000000000000,-19.287900067213751,-0.051471322717344
0.420000000000000,-19.201414263802217,-0.052512885595817
0.430000000000000,-19.124020636938255,-0.053462917062604
0.440000000000000,-19.055614422689626,-0.054317014243929
0.450000000000000,-18.996114335254632,-0.055071070879978
0.460000000000000,-18.945461856010407,-0.055721296349877
0.470000000000000,-18.903620730438970,-0.056264234283298
0.480000000000000,-18.870576662724897,-0.056696780713314
0.490000000000000,-18.846337201688005,-0.057016201723328
0.500000000000000,-18.830931815371933,-0.057220150539069
0.510000000000000,-18.824412155180376,-0.057306684014113
0.520000000000000,-18.826852514047513,-0.057274278455178
0.530000000000000,-18.838350486883016,-0.057121844730654
0.540000000000000,-18.859027845545587,-0.056848742602866
0.550000000000000,-18.889031645042170,-0.056454794221479
0.560000000000000,-18.928535582637153,-0.055940296712202
0.570000000000000,-18.977741637344902,-0.055306033791289
